CN,1/11/16 7:00,1/11/16 7:30,0.5,,,Z61603000000
RG,1/11/16 7:30,1/11/16 15:30,7.5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T2633U51A
CD,1/11/16 15:30,1/11/16 17:00,1.5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T2633U51A
CD,1/12/16 6:30,1/12/16 7:00,0.5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T2633U51A
RG,1/12/16 7:00,1/12/16 15:30,8,Tools - FY16 Blk30 Log,S/W - GUI/Display,T2633U51A
CD,1/12/16 15:30,1/12/16 17:00,1.5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T2633U51A
CD,1/13/16 6:30,1/13/16 7:00,0.5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T2633U51A
RG,1/13/16 7:00,1/13/16 15:30,8,Tools - FY16 Blk30 Log,S/W - GUI/Display,T2633U51A
CD,1/13/16 15:30,1/13/16 16:30,1,Tools - FY16 Blk30 Log,S/W - GUI/Display,T2633U51A
CN,1/14/16 7:00,1/14/16 10:00,3,,,Z61603000000
RG,1/14/16 10:00,1/14/16 15:30,5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T2633U51A
CD,1/14/16 15:30,1/14/16 17:00,1.5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T2633U51A
CN,1/15/16 7:00,1/15/16 10:30,3.5,,,Z61603000000
RG,1/15/16 10:30,1/15/16 15:30,4.5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T2633U51A
CD,1/15/16 15:30,1/15/16 17:00,1.5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T2633U51A
LH,1/18/16 7:00,1/18/16 15:30,8,,,Z61633344000
CN,1/19/16 7:00,1/19/16 8:30,1.5,,,Z61603000000
RG,1/19/16 8:30,1/19/16 15:30,6.5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T2633U51A
CD,1/19/16 15:30,1/19/16 17:00,1.5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T2633U51A
CN,1/20/16 7:00,1/20/16 8:30,1.5,,,Z61603000000
RG,1/20/16 8:30,1/20/16 15:30,6.5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T2633U51A
CD,1/20/16 15:30,1/20/16 17:00,1.5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T2633U51A
CN,1/21/16 7:00,1/21/16 9:30,2.5,,,Z61603000000
RG,1/21/16 9:30,1/21/16 15:30,5.5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T2633U51A
CD,1/21/16 15:30,1/21/16 17:00,1.5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T2633U51A
CN,1/22/16 7:00,1/22/16 10:00,3,,,Z61603000000
RG,1/22/16 10:00,1/22/16 15:30,5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T2633U51A
CD,1/22/16 15:30,1/22/16 17:00,1.5,Tools - FY16 Blk30 Log,S/W - GUI/Display,T2633U51A
